603,1,2
175,1,2
196,1,2
61,1,1
510,1,2
240,1,2
487,1,1
275,1,2
494,1,2
424,1,1
527,1,1
603,1,1
521,1,2
112,1,2
659,1,2
235,1,1
249,1,1
559,1,2
242,1,2
367,1,2
796,1,2
250,1,1
285,1,1
594,1,1
249,1,1
153,1,1
425,1,1
410,1,2
776,1,1
342,1,1
453,1,2
426,1,1
555,1,1
164,1,2
494,1,2
581,1,2
449,1,1
81,1,2
349,1,2
651,1,2
739,1,2
705,1,2
158,1,1
145,1,2
530,1,2
284,1,2
634,1,2
360,1,1
46,1,2
420,1,2
448,1,2
317,1,2
240,1,1
29,1,1
325,1,1
62,1,2
371,1,2
446,1,1
111,1,2
216,1,1
549,1,1
599,1,1
538,1,2
172,1,2
265,1,1
462,1,2
414,1,1
423,1,1
220,1,1
287,1,2
320,1,2
255,1,1
337,1,2
197,1,2
788,1,1
75,1,2
489,1,2
334,1,1
219,1,1
527,1,2
