0,20,1,999
0,49,12,999
1,28,7,999
1,34,1,999
2,37,9,999
2,27,8,999
3,21,1,999
3,26,4,999
4,49,15,999
4,23,4,999
5,25,14,999
5,3,1,999
6,14,10,999
6,35,15,999
7,24,5,999
7,37,8,999
8,21,10,999
8,21,4,999
9,16,6,999
9,48,4,999
10,10,8,999
10,40,5,999
11,3,1,999
11,11,10,999
12,3,10,999
12,46,12,999
13,40,3,999
13,43,9,999
14,5,2,999
14,26,9,999
15,19,3,999
15,3,3,999
16,4,2,999
16,1,10,999
17,24,8,999
17,38,4,999
18,29,15,999
18,31,13,999
19,50,7,999
19,25,9,999
20,32,8,999
20,36,12,999
21,3,10,999
21,31,14,999
22,32,10,999
22,38,8,999
23,50,9,999
23,36,7,999
24,19,8,999
24,37,3,999
25,20,5,999
25,5,14,999
26,3,15,999
26,3,4,999
27,12,8,999
27,29,13,999
28,1,15,999
28,32,3,999
29,36,7,999
29,48,10,999
30,21,8,999
30,24,2,999
31,3,3,999
31,23,7,999
32,25,13,999
32,19,6,999
33,13,12,999
33,42,1,999
34,47,13,999
34,47,11,999
35,13,11,999
35,47,9,999
36,36,15,999
36,36,15,999
37,15,10,999
37,35,1,999
38,6,13,999
38,3,15,999
39,35,12,999
39,29,12,999
40,14,3,999
40,3,9,999
41,23,6,999
41,41,8,999
42,33,15,999
42,41,6,999
43,16,11,999
43,36,4,999
44,37,1,999
44,14,3,999
45,28,6,999
45,39,7,999
46,30,3,999
46,39,5,999
47,30,2,999
47,43,2,999
48,36,7,999
48,5,2,999
49,38,2,999
49,22,7,999
50,28,6,999
50,24,15,999
51,25,5,999
51,37,13,999
52,18,6,999
52,19,3,999
53,22,13,999
53,27,3,999
54,36,12,999
54,13,5,999
55,13,9,999
55,30,13,999
56,39,7,999
56,15,13,999
57,2,10,999
57,2,6,999
58,39,13,999
58,42,6,999
59,5,14,999
59,30,14,999
60,49,8,999
60,24,10,999
61,16,2,999
61,9,14,999
62,49,14,999
62,17,5,999
63,4,1,999
63,10,2,999
64,19,12,999
64,13,6,999
65,11,14,999
65,14,14,999
66,34,10,999
66,17,10,999
67,8,15,999
67,11,11,999
68,28,2,999
68,18,10,999
69,9,12,999
69,13,11,999
70,7,12,999
70,16,13,999
71,2,9,999
71,12,11,999
72,19,10,999
72,38,4,999
73,10,9,999
73,8,15,999
74,3,11,999
74,48,9,999
75,7,4,999
75,7,3,999
76,10,1,999
76,28,9,999
77,28,6,999
77,7,14,999
78,18,8,999
78,38,9,999
79,4,3,999
