97 / 11 / 16
41 / 33 / 17
61 / 16 / 15
74 / 19 / 13
7 / 48 / 22
76 / 22 / 17
46 / 16 / 21
80 / 25 / 4
36 / 29 / 19
51 / 41 / 13
58 / 19 / 16
32 / 10 / 5
76 / 38 / 24
21 / 15 / 6
7 / 8 / 5
18 / 46 / 19
14 / 12 / 12
33 / 16 / 3
65 / 34 / 4
54 / 32 / 17
14 / 46 / 2
17 / 28 / 1
33 / 39 / 17
51 / 21 / 12
26 / 30 / 6
78 / 5 / 16
93 / 17 / 6
90 / 18 / 10
86 / 13 / 2
88 / 42 / 19
38 / 14 / 16
43 / 19 / 7
52 / 8 / 22
47 / 50 / 13
17 / 2 / 7
72 / 21 / 10
68 / 1 / 19
8 / 47 / 20
43 / 45 / 2
49 / 3 / 14
90 / 6 / 19
74 / 19 / 17
78 / 9 / 12
6 / 23 / 18
17 / 18 / 16
81 / 8 / 22
71 / 26 / 16
32 / 29 / 10
46 / 48 / 12
99 / 38 / 6
3 / 21 / 18
21 / 33 / 21
11 / 48 / 5
63 / 41 / 20
15 / 4 / 23
35 / 38 / 11
19 / 23 / 1
77 / 16 / 8
25 / 2 / 4
31 / 11 / 10
14 / 26 / 2
60 / 21 / 13
36 / 43 / 13
7 / 14 / 1
13 / 3 / 15
22 / 3 / 12
9 / 35 / 12
25 / 37 / 12
24 / 1 / 20
76 / 27 / 15
39 / 31 / 1
60 / 35 / 15
2 / 25 / 12
0 / 13 / 2
32 / 22 / 15
48 / 19 / 18
24 / 38 / 18
39 / 8 / 12
88 / 27 / 5
82 / 1 / 2
34 / 12 / 12
26 / 24 / 5
27 / 2 / 4
65 / 50 / 17
55 / 11 / 5
89 / 25 / 5
76 / 1 / 3
95 / 48 / 24
98 / 37 / 4
87 / 49 / 1
26 / 28 / 12
76 / 3 / 12
94 / 25 / 6
81 / 7 / 12
38 / 2 / 5
13 / 40 / 14
93 / 19 / 6
97 / 30 / 9
48 / 22 / 20
66 / 50 / 2
